country,date,cases,deaths
Africa,2022-11-29,0,16
Africa,2022-11-30,0,16
Africa,2022-12-01,0,16
Africa,2022-12-02,43,16
Africa,2022-12-03,0,16
Africa,2022-12-04,0,16
Africa,2022-12-05,0,16
Africa,2022-12-06,0,16
Africa,2022-12-07,0,16
Africa,2022-12-08,0,16
Africa,2022-12-09,34,16
Africa,2022-12-10,0,16
Africa,2022-12-11,0,16
Africa,2022-12-12,1,16
Africa,2022-12-13,0,16
Africa,2022-12-14,0,16
Africa,2022-12-15,0,16
Africa,2022-12-16,12,16
Africa,2022-12-17,0,16
Africa,2022-12-18,0,16
Africa,2022-12-19,0,16
Africa,2022-12-20,0,16
Africa,2022-12-21,0,16
Africa,2022-12-22,0,16
Africa,2022-12-23,10,16
Africa,2022-12-24,0,16
Africa,2022-12-25,0,16
Africa,2022-12-26,0,16
Africa,2022-12-27,0,16
Africa,2022-12-28,0,16
Africa,2022-12-29,0,16
Africa,2022-12-30,8,16
Africa,2022-12-31,0,16
Africa,2023-01-01,0,16
Africa,2023-01-02,0,16
Africa,2023-01-03,0,16
Africa,2023-01-04,0,16
Africa,2023-01-05,0,16
Africa,2023-01-06,42,16
Africa,2023-01-07,0,16
Africa,2023-01-08,0,16
Africa,2023-01-09,0,16
Africa,2023-01-10,2,16
Africa,2023-01-11,0,16
Africa,2023-01-12,0,16
Africa,2023-01-13,27,17
Africa,2023-01-14,0,17
Africa,2023-01-15,0,17
Africa,2023-01-16,0,17
Africa,2023-01-17,0,17
Africa,2023-01-18,0,17
Africa,2023-01-19,0,17
Africa,2023-01-20,35,17
Africa,2023-01-21,0,17
Africa,2023-01-22,0,17
Africa,2023-01-23,0,17
Africa,2023-01-24,0,17
Africa,2023-01-25,0,17
Africa,2023-01-26,0,17
Africa,2023-01-27,27,17
Africa,2023-01-28,0,17
Africa,2023-01-29,0,17
Africa,2023-01-30,0,17
Africa,2023-01-31,1,17
Africa,2023-02-01,0,17
Africa,2023-02-02,0,17
Africa,2023-02-03,17,17
Africa,2023-02-04,0,17
Africa,2023-02-05,0,17
Africa,2023-02-06,0,17
Africa,2023-02-07,0,17
Africa,2023-02-08,0,17
Africa,2023-02-09,0,17
Africa,2023-02-10,6,18
Africa,2023-02-11,0,18
Africa,2023-02-12,0,18
Africa,2023-02-13,0,18
Africa,2023-02-14,0,18
Africa,2023-02-15,0,18
Africa,2023-02-16,0,18
Africa,2023-02-17,42,18
Africa,2023-02-18,0,18
Africa,2023-02-19,0,18
Africa,2023-02-20,0,18
Africa,2023-02-21,0,18
Africa,2023-02-22,0,18
Africa,2023-02-23,0,18
Africa,2023-02-24,5,19
Africa,2023-02-25,0,19
Africa,2023-02-26,0,19
Africa,2023-02-27,0,19
Africa,2023-02-28,0,19
Africa,2023-03-01,0,19
Africa,2023-03-02,0,19
Africa,2023-03-03,24,19
Africa,2023-03-04,0,19
Africa,2023-03-05,0,19
Africa,2023-03-06,0,19
Africa,2023-03-07,0,19
Africa,2023-03-08,0,19
Africa,2023-03-09,0,19
Africa,2023-03-10,7,19
Africa,2023-03-11,0,19
Africa,2023-03-12,0,19
Africa,2023-03-13,0,19
Africa,2023-03-14,0,19
Africa,2023-03-15,0,19
Africa,2023-03-16,0,19
Africa,2023-03-17,11,19
Africa,2023-03-18,0,19
Africa,2023-03-19,0,19
Africa,2023-03-20,0,19
Africa,2023-03-21,0,19
Africa,2023-03-22,0,19
Africa,2023-03-23,0,19
Africa,2023-03-24,11,19
Africa,2023-03-25,0,19
Africa,2023-03-26,0,19
Africa,2023-03-27,0,19
Africa,2023-03-28,0,19
Africa,2023-03-29,0,19
Africa,2023-03-30,0,19
Africa,2023-03-31,6,19
Africa,2023-04-01,0,19
Africa,2023-04-02,0,19
Africa,2023-04-03,0,19
Africa,2023-04-04,0,19
Africa,2023-04-05,1,19
Africa,2023-04-06,0,19
Africa,2023-04-07,64,19
Africa,2023-04-08,0,19
Africa,2023-04-09,0,19
Africa,2023-04-10,0,19
Africa,2023-04-11,0,19
Africa,2023-04-12,0,19
Africa,2023-04-13,0,19
Africa,2023-04-14,40,19
Africa,2023-04-15,0,19
Africa,2023-04-16,0,19
Africa,2023-04-17,0,19
Africa,2023-04-18,0,19
Africa,2023-04-19,0,19
Africa,2023-04-20,0,19
Africa,2023-04-21,3,19
Africa,2023-04-22,0,19
Africa,2023-04-23,0,19
Africa,2023-04-24,0,19
Africa,2023-04-25,0,19
Africa,2023-04-26,0,19
Africa,2023-04-27,0,19
Africa,2023-04-28,0,19
Africa,2023-04-29,0,19
Africa,2023-04-30,0,19
Africa,2023-05-01,0,19
Africa,2023-05-02,0,19
Africa,2023-05-03,0,19
Africa,2023-05-04,0,19
Africa,2023-05-05,0,19
Andorra,2022-07-25,2,0
Andorra,2022-07-26,1,0
Andorra,2022-07-27,0,0
Andorra,2022-07-28,0,0
Andorra,2022-07-29,0,0
Andorra,2022-07-30,0,0
Andorra,2022-07-31,0,0
Andorra,2022-08-01,0,0
Andorra,2022-08-02,0,0
Andorra,2022-08-03,0,0
Andorra,2022-08-04,0,0
Andorra,2022-08-05,1,0
Andorra,2022-08-06,0,0
Andorra,2022-08-07,0,0
Andorra,2022-08-08,0,0
Andorra,2022-08-09,0,0
Andorra,2022-08-10,0,0
Andorra,2022-08-11,0,0
Andorra,2022-08-12,0,0
Andorra,2022-08-13,0,0
Andorra,2022-08-14,0,0
Andorra,2022-08-15,0,0
Andorra,2022-08-16,0,0
Andorra,2022-08-17,0,0
Andorra,2022-08-18,0,0
Andorra,2022-08-19,0,0
Andorra,2022-08-20,0,0
Andorra,2022-08-21,0,0
Andorra,2022-08-22,0,0
Andorra,2022-08-23,0,0
Andorra,2022-08-24,0,0
Andorra,2022-08-25,0,0
Andorra,2022-08-26,0,0
Andorra,2022-08-27,0,0
Andorra,2022-08-28,0,0
Andorra,2022-08-29,0,0
Andorra,2022-08-30,0,0
Andorra,2022-08-31,0,0
Andorra,2022-09-01,0,0
Andorra,2022-09-02,0,0
Andorra,2022-09-03,0,0
